word,embeddings
the,"[-0.0005373933236114681, 0.00024123025650624186, 0.005107874050736427, 0.009014306589961052, -0.009299893863499165, -0.007120049092918634, 0.006462398450821638, 0.008974728174507618, -0.005017847754061222, -0.003767743706703186, 0.007380539085716009, -0.0015377419767901301, -0.004529941361397505, 0.006556160748004913, -0.004853059072047472, -0.0018184843938797712, 0.00287866429425776, 0.0009931166423484683, -0.008284605108201504, -0.009455032646656036, 0.007316133938729763, 0.005072439089417458, 0.006759026553481817, 0.0007610846078023314, 0.006349146366119385, -0.003402604255825281, -0.000950966845266521, 0.005768499802798033, -0.007522386033087969, -0.003936977591365576, -0.007509890012443066, -0.0009302680264227092, 0.0095344427973032, -0.0073219360783696175, -0.0023331078700721264, -0.0019313873490318656, 0.008077757433056831, -0.005928061902523041, 4.2004070564871654e-05, -0.004752981010824442, -0.00959566980600357, 0.005002328660339117, -0.008759237825870514, -0.004390374291688204, -3.299985110061243e-05, -0.0003006694605574012, -0.007665762212127447, 0.009611169807612896, 0.004982655867934227, 0.009231435135006905, -0.008151864632964134, 0.004495068918913603, -0.0041347891092300415, 0.0008228083606809378, 0.008497042581439018, -0.004458392970263958, 0.00451892614364624, -0.006786076817661524, -0.003548896638676524, 0.009397213347256184, -0.0015812045894563198, 0.0003195565950591117, -0.004138441756367683, -0.007680946029722691, -0.0015068892389535904, 0.002473782980814576, -0.000889306771568954, 0.005536091048270464, -0.002742568962275982, 0.0022586314007639885, 0.005453591700643301, 0.00834555272012949, -0.0014541768468916416, -0.009203667752444744, 0.0043745022267103195, 0.0005750306881964207, 0.007442503236234188, -0.0008098768885247409, -0.002638448728248477, -0.008750097826123238, -0.0008630533120594919, 0.002828283468261361, 0.005404578987509012, 0.00705158244818449, -0.005703240167349577, 0.001862256322056055, 0.00609573582187295, -0.004798289388418198, -0.003104637609794736, 0.0068012322299182415, 0.001632810104638338, 0.0001899327035062015, 0.0034721072297543287, 0.00021603304776363075, 0.009625030681490898, 0.005061795003712177, -0.00891431700438261, -0.007042385172098875, 0.000900501268915832, 0.006392218638211489]"
world,"[-0.008617200888693333, 0.003674388863146305, 0.005201784893870354, 0.005745206028223038, 0.0074726901948452, -0.006176226306706667, 0.0011146602919325233, 0.006050227675586939, -0.002851425437256694, -0.0061848037876188755, -0.0004125156265217811, -0.008379792794585228, -0.005583967547863722, 0.007105398457497358, 0.003369502956047654, 0.007217478007078171, 0.006810220889747143, 0.007532582152634859, -0.0037858271971344948, -0.0005837204516865313, 0.0023575639352202415, -0.004517931956797838, 0.008393590338528156, -0.00987139344215393, 0.006757585797458887, 0.0029204776510596275, -0.00494395149871707, 0.004398126155138016, -0.0017420494696125388, 0.006715409457683563, 0.009967073798179626, -0.004359180107712746, -0.0006080800085328519, -0.005703742150217295, 0.003851632121950388, 0.002797537948936224, 0.006882519461214542, 0.006107730325311422, 0.00953136757016182, 0.009271613322198391, 0.007915658876299858, -0.007002395577728748, -0.009150326251983643, -0.00034813175443559885, -0.0030923495069146156, 0.007884079590439796, 0.0059272171929478645, -0.0015548066003248096, 0.0015136317815631628, 0.0017882263055071235, 0.007826054468750954, -0.00950784981250763, -0.00019499351037666202, 0.003462048713117838, -0.000941881793551147, 0.008387967944145203, 0.009011510759592056, 0.006540605798363686, -0.0007109738071449101, 0.007713605649769306, -0.008539183996617794, 0.003197386395186186, -0.004637409001588821, -0.005079371389001608, 0.0035927370190620422, 0.00538137461990118, 0.007766667753458023, -0.005756442900747061, 0.007435411214828491, 0.006620526313781738, -0.0037110622506588697, -0.008744781836867332, 0.0054409983567893505, 0.006522682029753923, -0.0007770959055051208, -0.006698452867567539, -0.007074490189552307, -0.0024906715843826532, 0.005146584007889032, -0.0036597258877009153, -0.009382916614413261, 0.0038313784170895815, 0.004886897746473551, -0.006426806561648846, 0.0012136611621826887, -0.002070922404527664, 3.878937422996387e-05, -0.009880862198770046, 0.0027063291054219007, -0.004743899218738079, 0.0010981550440192223, -0.0015748401638120413, 0.002194539876654744, -0.007886855863034725, -0.002705809660255909, 0.002670415211468935, 0.005355021916329861, -0.0023962361738085747, -0.009505165740847588, 0.004500118084251881]"
.,"[9.55997165874578e-05, 0.0030878514517098665, -0.006796232424676418, -0.0013693434884771705, 0.007677667774260044, 0.007336297072470188, -0.0036623042542487383, 0.002645297208800912, -0.008325186558067799, 0.006190063897520304, -0.004641243256628513, -0.0031797299161553383, 0.009338761679828167, 0.0008758933399803936, 0.007513986434787512, -0.006091878283768892, 0.005173631012439728, 0.009925239719450474, -0.008451435714960098, -0.005162273067981005, -0.00704938406124711, -0.004858934786170721, -0.003778416197746992, -0.00854662898927927, 0.007944000884890556, -0.004837305285036564, 0.008411383256316185, 0.005265024024993181, -0.006560554262250662, 0.003963281400501728, 0.005471627693623304, -0.007424038369208574, -0.007421063259243965, -0.0024928294587880373, -0.00862383283674717, -0.0015647715190425515, -0.00041337337461300194, 0.003313980298116803, 0.0014336924068629742, -0.0008786302641965449, -0.005565108265727758, 0.0017093659844249487, -0.0008938202518038452, 0.006809346843510866, 0.003987724427133799, 0.004507220815867186, 0.0014116568490862846, -0.0027126166969537735, -0.004357243422418833, -0.001035504974424839, 0.0014542473945766687, -0.0026370761916041374, -0.007052531465888023, -0.007821690291166306, -0.009126498363912106, -0.005921423435211182, -0.0018464700551703572, -0.004317464306950569, -0.006462512072175741, -0.0037120983470231295, 0.004285000264644623, -0.0037493754643946886, 0.008377219550311565, 0.0015450128121301532, -0.007235757540911436, 0.009447082877159119, 0.007626281585544348, 0.005507994443178177, -0.0068372273817658424, 0.005812428891658783, 0.004012699238955975, 0.005183733534067869, 0.004255563020706177, 0.001955738989636302, -0.0031498768366873264, 0.00837673805654049, 0.009631158784031868, 0.003805797081440687, -0.0028285151347517967, 1.5519117368967272e-05, 0.0011947297025471926, -0.008451446890830994, -0.008218148723244667, -0.00023160090495366603, 0.001238352502696216, -0.005732876248657703, -0.004701218102127314, -0.007337787188589573, 0.008347258903086185, 0.00013289802882354707, -0.004494492895901203, 0.0057044788263738155, 0.00917938444763422, -0.004107167012989521, 0.00798468105494976, 0.005382656119763851, 0.005890117026865482, 0.0005066413432359695, 0.008215905167162418, -0.007031364366412163]"
cup,"[-0.008245943114161491, 0.009323946200311184, -0.00017592089716345072, -0.00196152669377625, 0.0046110982075333595, -0.004117727745324373, 0.0027447945903986692, 0.0069533297792077065, 0.006057030986994505, -0.0075273094698786736, 0.009370986372232437, 0.004643429536372423, 0.003999026026576757, -0.006238425150513649, 0.00848634634166956, -0.0021836229134351015, 0.008840613067150116, -0.005361950956285, -0.008111150935292244, 0.006793112959712744, 0.0016890914412215352, -0.0021961156744509935, 0.00950607843697071, 0.009486929513514042, -0.009805228561162949, 0.0025116300676018, 0.006135345436632633, 0.0038928003050386906, 0.0020134260412305593, 0.0004351364332251251, 0.0006700537633150816, -0.003826360683888197, -0.007165202870965004, -0.002117428695783019, 0.003926620353013277, 0.008849375881254673, 0.009262394160032272, -0.005964318290352821, -0.009430834092199802, 0.009783489629626274, 0.00347280316054821, 0.005132527556270361, 0.006280491128563881, -0.0027716022450476885, 0.007345481310039759, 0.0028003044426441193, 0.0028374295216053724, -0.002407202497124672, -0.0031158002093434334, -0.002382089616730809, 0.004302280489355326, 8.903524576453492e-05, -0.009544409811496735, -0.009680723771452904, -0.006159906275570393, -0.00010564250987954438, 0.002004452282562852, 0.009442935697734356, 0.005591167137026787, -0.004275322891771793, 0.00027548722573556006, 0.004944975487887859, 0.007693065796047449, -0.001127608004026115, 0.004343939013779163, -0.00580511474981904, -0.0008063807617872953, 0.00813127588480711, -0.002338964957743883, -0.009669609367847443, 0.0057800328359007835, -0.003929119557142258, -0.0012206996325403452, 0.009998941794037819, -0.002218511188402772, -0.004709856119006872, -0.005308708641678095, 0.007006375584751368, -0.005693251267075539, 0.0021234021987766027, -0.005301808472722769, 0.0061364201828837395, 0.004367238376289606, 0.002608313923701644, -0.0015009737107902765, -0.0027289297431707382, 0.00901838019490242, 0.00522803608328104, -0.0021247973199933767, -0.009448062628507614, -0.007399889640510082, -0.001057914225384593, -0.0008028397569432855, -0.002585742622613907, 0.009707635268568993, -0.0004524041432887316, 0.005892327055335045, -0.007447909563779831, -0.0024989270605146885, -0.005560091231018305]"
in,"[-0.0071477508172392845, 0.0012534281704574823, -0.007167306262999773, -0.0022436128929257393, 0.0037253890186548233, 0.005820659454911947, 0.0012025092728435993, 0.0021068938076496124, -0.004115408286452293, 0.007223422639071941, -0.00631434191018343, 0.004631757736206055, -0.008205004967749119, 0.002037476748228073, -0.004965898115187883, -0.0042653074488043785, -0.0031128854025155306, 0.005654925014823675, 0.005812046118080616, -0.004982135258615017, 0.0007831243565306067, -0.008493505418300629, 0.007800917141139507, 0.009251651354134083, -0.0027518821880221367, 0.0007991628954187036, 0.0007394474232569337, 0.005480992142111063, -0.008606565184891224, 0.0005782445077784359, 0.006862913258373737, 0.0022311543580144644, 0.0011155400425195694, -0.009324104525148869, 0.00848601758480072, -0.006242783274501562, -0.0029928097501397133, 0.0034971360582858324, -0.0007782330503687263, 0.0014177754055708647, 0.0018016498070210218, -0.006844586227089167, -0.009721498936414719, 0.009054391644895077, 0.006207867991179228, -0.006919099949300289, 0.0033908411860466003, 0.00019752878870349377, 0.004757654387503862, -0.007130960468202829, 0.00403855973854661, 0.004362180363386869, 0.009979764930903912, -0.004477017559111118, -0.0013836502330377698, -0.007309220731258392, -0.009690312668681145, -0.009075172245502472, -0.0010127772111445665, -0.006495400797575712, 0.004845899995416403, -0.006173780187964439, 0.0025098049081861973, 0.0007416061125695705, -0.0033759470097720623, -0.0009853558149188757, 0.009977616369724274, 0.009160920977592468, -0.004449778236448765, 0.009081323631107807, -0.005647295154631138, 0.005924167111515999, -0.003092324361205101, 0.003441527485847473, 0.0030334487091749907, 0.006919749081134796, -0.0023680434096604586, 0.008782672695815563, 0.007598193362355232, -0.009539681486785412, -0.008025027811527252, -0.007629112806171179, 0.0029316339641809464, -0.0027962815947830677, -0.006928666494786739, -0.008115597069263458, 0.008317835628986359, 0.0019901497289538383, -0.009309149347245693, -0.004780957475304604, 0.0031466365326195955, -0.004708013962954283, 0.0052803801372647285, -0.004246658179908991, 0.0026527075096964836, -0.008036913350224495, 0.006212132051587105, 0.0048249890096485615, 0.0007965926197357476, 0.00300642685033381]"
cricket,"[-0.008728386834263802, 0.0021362691186368465, -0.0008695870637893677, -0.009317472577095032, -0.009425757452845573, -0.0014133774675428867, 0.0044325911439955235, 0.0037057383451610804, -0.006500290706753731, -0.006876217667013407, -0.005000890698283911, -0.0022910970728844404, -0.007246001157909632, -0.009601685218513012, -0.0027386010624468327, -0.008364994078874588, -0.006030160002410412, -0.005668999161571264, -0.002346398774534464, -0.0017135110683739185, -0.008955119177699089, -0.0007334593683481216, 0.008154623210430145, 0.007686172612011433, -0.007208607159554958, -0.0036634972784668207, 0.003112451173365116, -0.009569921530783176, 0.0014741852646693587, 0.006528038997203112, 0.005752264056354761, -0.00876604113727808, -0.004522877279669046, -0.008147898130118847, 4.5015312934992835e-05, 0.009265721775591373, 0.005974279250949621, 0.005072905216366053, 0.0050602806732058525, -0.0032419825438410044, 0.009558641351759434, -0.007361827418208122, -0.007270813919603825, -0.002263731323182583, -0.0007777686114422977, -0.003221392398700118, -0.0005986655596643686, 0.007484094705432653, -0.0006959371967241168, -0.0016254261136054993, 0.002748811850324273, -0.008362066000699997, 0.007857128046452999, 0.008532810024917126, -0.009587741456925869, 0.002450266620144248, 0.009908619336783886, -0.007663584779947996, -0.006969690788537264, -0.007734254002571106, 0.00839403085410595, -0.0006836293614469469, 0.009146902710199356, -0.008154427632689476, 0.0037453181575983763, 0.002640893217176199, 0.0007444877410307527, 0.002328843344002962, -0.007467418909072876, -0.009360400028526783, 0.002354502212256193, 0.006147382780909538, 0.007985306903719902, 0.005738343112170696, -0.0007725515170022845, 0.008308878168463707, -0.009334863163530827, 0.0034099870827049017, 0.00026792922290042043, 0.003857948584482074, 0.007379098795354366, -0.006724525708705187, 0.005587729625403881, -0.009521053172647953, -0.0008045608410611749, -0.008688214235007763, -0.005093797575682402, 0.009291931055486202, -0.0018545760540291667, 0.002916721161454916, 0.009074260480701923, 0.008938862010836601, -0.008206872269511223, -0.0030180965550243855, 0.009890332818031311, 0.005106752272695303, -0.0015821338165551424, -0.008691923692822456, 0.0029582828283309937, -0.006675505544990301]"
is,"[0.00813420582562685, -0.004450404550880194, -0.0010619036620482802, 0.0010072943987324834, -0.00018629964324645698, 0.0011435357155278325, 0.0061185467056930065, -1.7441007003071718e-05, -0.003247657557949424, -0.00152011017780751, 0.005894511938095093, 0.0015066321939229965, -0.0007117195636965334, 0.009332871995866299, -0.004910899791866541, -0.0008439857047051191, 0.009184080176055431, 0.006748905871063471, 0.0015049998182803392, -0.00889455247670412, 0.00115671765524894, -0.0022871424444019794, 0.009366649203002453, 0.0012076760176569223, 0.0014853135216981173, 0.0024101322051137686, -0.0018422504654154181, -0.005000432021915913, 0.00022969642304815352, -0.0020095710642635822, 0.006602930370718241, 0.008940267376601696, -0.0006831088103353977, 0.002964900340884924, -0.006105752661824226, 0.0017063734121620655, -0.006928869988769293, -0.008685407228767872, -0.005902837496250868, -0.008954658173024654, 0.007289738394320011, -0.005780811887234449, 0.00827793125063181, -0.0072379386983811855, 0.0034253497142344713, 0.009663160890340805, -0.0077949753031134605, -0.009951109997928143, -0.004325143061578274, -0.00268125394359231, -0.0002621817111503333, -0.008828758262097836, -0.008611963130533695, 0.002793076913803816, -0.008207403123378754, -0.009063059464097023, -0.00233838870190084, -0.008628535084426403, -0.007060482166707516, -0.008397700265049934, -0.0003047583159059286, -0.0045675914734601974, 0.006627488881349564, 0.0015338131925091147, -0.0033379546366631985, 0.006116325967013836, -0.00601467490196228, -0.004652336705476046, -0.0072005875408649445, -0.004343195352703333, -0.0018050653161481023, 0.006486386060714722, -0.0027702038642019033, 0.004925840999931097, 0.006911946926265955, -0.007455481681972742, 0.004572719801217318, 0.006133695598691702, -0.002950001275166869, 0.006631096825003624, 0.006114463321864605, -0.006438766606152058, -0.0067601497285068035, 0.0025375934783369303, -0.0016232862835749984, -0.006060448940843344, 0.009511281736195087, -0.0051233796402812, -0.006545848213136196, -0.00011748550605261698, -0.0026930104941129684, 0.00044688995694741607, -0.00353577290661633, -0.00042150678928010166, -0.0006998893222771585, 0.000824861868750304, 0.008197768591344357, -0.005740908905863762, -0.0016608985606580973, 0.005567755084484816]"
of,"[0.008166893385350704, -0.004430870059877634, 0.00900000985711813, 0.008260730654001236, -0.004427185747772455, 0.0002898220263887197, 0.004289614502340555, -0.0039173634722828865, -0.005574301816523075, -0.006521090865135193, -0.0006759692914783955, -0.00031532501452602446, 0.004480559844523668, -0.0024663012009114027, -0.00015903395251370966, 0.0024437105748802423, 0.004873040597885847, -2.4285944164148532e-05, -0.00633168825879693, -0.009286542423069477, 4.157103830948472e-05, 0.00666327029466629, 0.0014638765715062618, -0.00898116733878851, -0.007946244440972805, 0.00655174907296896, -0.0037966619711369276, 0.0062552704475820065, -0.006688462570309639, 0.008475792594254017, -0.006518398877233267, 0.0032892534509301186, -0.0010665527079254389, -0.0067953625693917274, -0.0032869838178157806, -0.001141980173997581, -0.005477885715663433, -0.0012034019455313683, -0.007566696498543024, 0.002646372187882662, 0.009095760062336922, -0.002397805918008089, -0.000975568953435868, 0.0035265821497887373, 0.00867535825818777, -0.005930596496909857, -0.0069071282632648945, -0.002945132087916136, 0.009154879488050938, 0.0008634038385935128, -0.008667253889143467, -0.001438555889762938, 0.009500808082520962, -0.007554961368441582, -0.005352993495762348, 0.009323476813733578, -0.008964558131992817, 0.0038264079485088587, 0.000666323583573103, 0.0066693369299173355, 0.008304701186716557, -0.0028643454425036907, -0.004001232795417309, 0.008900285698473454, 0.0020985996816307306, 0.00625783484429121, -0.009448752738535404, 0.009604491293430328, -0.001338207977823913, -0.006057112477719784, 0.0029901936650276184, -0.00046034716069698334, 0.004713400267064571, -0.0022700149565935135, -0.00411760900169611, 0.002295690355822444, 0.008371585048735142, -0.004985537379980087, 0.0026765030343085527, -0.007984906435012817, -0.006794269662350416, -0.00045880701509304345, -0.008762100711464882, 0.002789740450680256, 0.0016016708686947823, -0.0023091647308319807, 0.0050232368521392345, 0.00974537804722786, 0.008472668938338757, -0.0018664991948753595, 0.002070153597742319, -0.003999145235866308, -0.008238841779530048, 0.006266867276281118, -0.0019326292676851153, -0.0006508278893306851, -0.0017656784038990736, -0.004537567496299744, 0.004069717135280371, -0.004275153391063213]"
winning,"[-0.009578963741660118, 0.008942448534071445, 0.00416552321985364, 0.009236049838364124, 0.006643571425229311, 0.0029265580233186483, 0.009807420894503593, -0.004426147323101759, -0.006804904900491238, 0.004227772355079651, 0.0037326414603739977, -0.0056629544124007225, 0.00970487855374813, -0.003558405442163348, 0.009549477137625217, 0.0008371567819267511, -0.0063366973772645, -0.0019777799025177956, -0.007380686234682798, -0.0029813104774802923, 0.0010418432066217065, 0.009484002366662025, 0.009363162331283092, -0.006597301922738552, 0.003477963386103511, 0.002276916988193989, -0.002489404520019889, -0.009231913834810257, 0.0010271624196320772, -0.008166207000613213, 0.006323532201349735, -0.005798969883471727, 0.005538448691368103, 0.009834972210228443, -0.00016086659161373973, 0.004526335746049881, -0.0018108102958649397, 0.0073598092421889305, 0.003941080998629332, -0.009015752002596855, -0.002402035752311349, 0.0036316874902695417, -9.771698387339711e-05, -0.0012055982369929552, -0.0010555589105933905, -0.001669708639383316, 0.0006058654398657382, 0.004167716484516859, -0.004254818428307772, -0.0038331374526023865, -5.5025248002493754e-05, 0.0002683742786757648, -0.00017308775568380952, -0.004786962177604437, 0.004313179757446051, -0.002176226582378149, 0.002101782476529479, 0.0006654565222561359, 0.0059691076166927814, -0.006845586467534304, -0.006816336885094643, -0.004477171692997217, 0.009439855813980103, -0.0015919527504593134, -0.009433623403310776, -0.0005442031542770565, -0.0044501423835754395, 0.005999722518026829, -0.00958939641714096, 0.0028597055934369564, -0.009254090487957, 0.0012528829975053668, 0.005999409127980471, 0.007398721296340227, -0.007624466437846422, -0.006059251260012388, -0.006839771289378405, -0.007920460775494576, -0.009502486325800419, -0.0021264120005071163, -0.0008321626810356975, -0.00726011348888278, 0.006787246558815241, 0.0011211736127734184, 0.005830203182995319, 0.0014694760320708156, 0.0007904060184955597, -0.007370090112090111, -0.0021812240593135357, 0.004320077132433653, -0.005087076220661402, 0.001129826414398849, 0.0028840438462793827, -0.001535875373519957, 0.009934162721037865, 0.008350606076419353, 0.002415841445326805, 0.007117456290870905, 0.00589191447943449, -0.005580743309110403]"
a,"[-0.005156170576810837, -0.006662056781351566, -0.0077726528979837894, 0.008313387632369995, -0.0019809158984571695, -0.006858787499368191, -0.004152942448854446, 0.005147595424205065, -0.002872515469789505, -0.0037546874955296516, 0.0016218960518017411, -0.0027799007948487997, -0.0015795017825439572, 0.001074460451491177, -0.0029725241474807262, 0.008517911657691002, 0.003916475921869278, -0.009957456029951572, 0.006257475819438696, -0.006763833109289408, 0.0007726721814833581, 0.004404546692967415, -0.005099033936858177, -0.0021140093449503183, 0.008093838579952717, -0.0042413282208144665, -0.0076414779759943485, 0.00925934873521328, -0.002156936563551426, -0.00471580121666193, 0.008572802878916264, 0.004281644243746996, 0.004324412904679775, 0.00927805807441473, -0.008452153764665127, 0.0052597299218177795, 0.002040513325482607, 0.004191655665636063, 0.0016949785640463233, 0.004463494755327702, 0.004490003455430269, 0.006100072525441647, -0.0032028937712311745, -0.004571282770484686, -0.00042467715684324503, 0.002528273267671466, -0.003266907762736082, 0.006054722238332033, 0.0041552381590008736, 0.007765233051031828, 0.002572698052972555, 0.008116135373711586, -0.0013862187042832375, 0.008074553683400154, 0.0037144713569432497, -0.008045601658523083, -0.003933098167181015, -0.002470742678269744, 0.004891213960945606, -0.0008696207078173757, -0.002832084661349654, 0.007831639610230923, 0.009325487539172173, -0.0016121509252116084, -0.005159033462405205, -0.004696379415690899, -0.0048443470150232315, -0.009598905220627785, 0.0013721106806769967, -0.004225702024996281, 0.0025263065472245216, 0.005615238565951586, -0.004065577872097492, -0.009591157548129559, 0.0015508327633142471, -0.0066951559856534, 0.0024969778023660183, -0.003777447622269392, 0.0070790802128612995, 0.0006407723412849009, 0.003555371891707182, -0.002737206406891346, -0.0017079960089176893, 0.007653452921658754, 0.0014061193214729428, -0.005848728585988283, -0.00782836228609085, 0.001233368064276874, 0.006458606570959091, 0.005558392032980919, -0.008972556330263615, 0.008593480102717876, 0.004047277383506298, 0.007467555347830057, 0.00975190568715334, -0.007290115114301443, -0.00903810653835535, 0.005833845119923353, 0.009390091523528099, 0.0035064872354269028]"
