word,embeddings
the,"[-0.2304019182920456, 0.7494639754295349, 0.5983575582504272, 0.4748854637145996, 0.22320179641246796, -1.212971568107605, 0.8042359948158264, 2.0626611709594727, -1.0227460861206055, -0.9787157773971558, -0.32327842712402344, -1.7052463293075562, -0.15146495401859283, 0.5468464493751526, 0.0721295103430748, -0.9767389893531799, 0.044560324400663376, -0.5841322541236877, -0.20883457362651825, -1.5547022819519043, 0.40657564997673035, -0.18588674068450928, 1.124616026878357, -0.1700313836336136, -0.030066894367337227, -0.04923150688409805, -0.9185780882835388, -0.14151634275913239, -0.7661187052726746, -0.0723317489027977, 0.9330684542655945, -0.43230295181274414, 0.6449354887008667, -0.2282530516386032, -0.15856823325157166, 1.0209314823150635, -0.04429643973708153, -0.4755726754665375, -0.8062592148780823, -1.2979758977890015, -0.13849744200706482, -0.9630257487297058, -0.2375270575284958, 0.3182819187641144, 0.004565423354506493, -0.6659653782844543, -0.8995338082313538, -0.41600170731544495, 0.7980087399482727, 1.3662513494491577, 0.53252774477005, -1.1244149208068848, -0.035106223076581955, 0.31970009207725525, -0.4463313817977905, 0.55970299243927, 0.7458145618438721, -0.06649161130189896, -0.7239545583724976, -0.1786247044801712, 0.2596176564693451, 0.08394831418991089, 0.05452689528465271, -0.390409916639328, -0.8917917609214783, 1.4598816633224487, 0.4922107458114624, 1.0189372301101685, -1.1775916814804077, 0.9742592573165894, -0.3341224491596222, 1.1754395961761475, 1.4196128845214844, -0.19588205218315125, 1.130965232849121, 0.5599503517150879, 0.0588717944920063, -0.16726922988891602, -0.9031978845596313, 0.31865137815475464, -0.6853030323982239, -0.002941420767456293, -1.2862637042999268, 0.723614513874054, -0.11837142705917358, -0.5895134806632996, 0.2414739727973938, 0.17447641491889954, 0.591499388217926, 0.8180632591247559, 1.2924206256866455, 0.12361668050289154, -0.2034044861793518, 0.7388914823532104, 1.677460789680481, 0.7077327966690063, 0.38875749707221985, -0.14721718430519104, 0.17231738567352295, -0.6364466547966003]"
.,"[-0.19852742552757263, 0.6300230026245117, 0.4935537874698639, 0.38091108202934265, 0.17591260373592377, -0.9931885600090027, 0.6758225560188293, 1.705597162246704, -0.8552525043487549, -0.810964822769165, -0.2688032388687134, -1.4231305122375488, -0.13975973427295685, 0.45384740829467773, 0.04909728094935417, -0.8230472803115845, 0.02824782207608223, -0.4807627499103546, -0.1567430943250656, -1.2834162712097168, 0.32848235964775085, -0.17070141434669495, 0.9184041619300842, -0.10345689207315445, -0.02584327943623066, -0.04881511628627777, -0.7458515167236328, -0.10276302695274353, -0.6334269046783447, -0.07396747916936874, 0.7597808837890625, -0.3566204905509949, 0.5293570160865784, -0.1817743182182312, -0.11800215393304825, 0.8318982124328613, -0.03742450475692749, -0.4088221788406372, -0.6732738018035889, -1.0982242822647095, -0.11913363635540009, -0.8064884543418884, -0.1878751665353775, 0.2891654670238495, 0.00996821653097868, -0.5780107975006104, -0.762951672077179, -0.34325891733169556, 0.6747322678565979, 1.1289888620376587, 0.4271644353866577, -0.9328481554985046, -0.008890379220247269, 0.2466103583574295, -0.36387601494789124, 0.4659557640552521, 0.589685320854187, -0.06826569885015488, -0.6048694252967834, -0.1802522987127304, 0.22272886335849762, 0.060119710862636566, 0.033618707209825516, -0.3205319941043854, -0.7537509202957153, 1.2120932340621948, 0.4141732454299927, 0.8661013841629028, -0.982628345489502, 0.8033003807067871, -0.29002559185028076, 1.008886456489563, 1.1838563680648804, -0.18299521505832672, 0.9565805196762085, 0.49966561794281006, 0.07151433080434799, -0.1421796977519989, -0.7547653317451477, 0.2658088207244873, -0.5596246719360352, -0.019676893949508667, -1.0819647312164307, 0.6179143786430359, -0.09498071670532227, -0.4984250068664551, 0.19986744225025177, 0.14756886661052704, 0.4680306017398834, 0.6854631900787354, 1.0744441747665405, 0.09731375426054001, -0.17799949645996094, 0.6196773648262024, 1.409187912940979, 0.5838762521743774, 0.32679256796836853, -0.11320292204618454, 0.16737258434295654, -0.5253822803497314]"
to,"[-0.18491527438163757, 0.6945726871490479, 0.5552960634231567, 0.45371896028518677, 0.19724588096141815, -1.132551670074463, 0.7686620950698853, 1.9378706216812134, -0.9645527005195618, -0.9168906807899475, -0.29965826869010925, -1.6009498834609985, -0.1256517916917801, 0.5237269401550293, 0.046652235090732574, -0.9356187582015991, 0.047985147684812546, -0.5516114830970764, -0.19129136204719543, -1.4881880283355713, 0.3803454041481018, -0.16150687634944916, 1.064335584640503, -0.14695097506046295, -0.028043411672115326, -0.03786657750606537, -0.8600279688835144, -0.13950274884700775, -0.7259837985038757, -0.06757234036922455, 0.8709133267402649, -0.38979941606521606, 0.6215729713439941, -0.20638735592365265, -0.1699165552854538, 0.9716306328773499, -0.06250102818012238, -0.4697762727737427, -0.787167489528656, -1.2604594230651855, -0.14022627472877502, -0.904188334941864, -0.19633236527442932, 0.2886204421520233, 0.013985088095068932, -0.6314035058021545, -0.8566089272499084, -0.4129447937011719, 0.7457907795906067, 1.2733839750289917, 0.4863201081752777, -1.0534489154815674, -0.04765136167407036, 0.29978418350219727, -0.430753231048584, 0.5056195855140686, 0.6858976483345032, -0.07791213691234589, -0.6916953325271606, -0.19431981444358826, 0.2648535668849945, 0.07329832017421722, 0.0651145949959755, -0.355111688375473, -0.8578714728355408, 1.3835785388946533, 0.44551676511764526, 0.9615532755851746, -1.134473443031311, 0.9103386998176575, -0.30764469504356384, 1.1292271614074707, 1.3352504968643188, -0.18014243245124817, 1.0782277584075928, 0.5399690866470337, 0.06772372126579285, -0.1545267552137375, -0.866963803768158, 0.31621289253234863, -0.6255170702934265, -0.0133725730702281, -1.2372692823410034, 0.6940272450447083, -0.1150728091597557, -0.5685657262802124, 0.24464748799800873, 0.1675143837928772, 0.5499778389930725, 0.7817615866661072, 1.2138569355010986, 0.1254429668188095, -0.19181834161281586, 0.7203301191329956, 1.5870566368103027, 0.6590963006019592, 0.36910495162010193, -0.1357993334531784, 0.169867604970932, -0.6013815999031067]"
a,"[-0.22050480544567108, 0.7298780083656311, 0.5840955972671509, 0.46329909563064575, 0.20793290436267853, -1.1523901224136353, 0.7892016172409058, 1.9603796005249023, -0.9880517721176147, -0.9384140968322754, -0.2991732954978943, -1.6491107940673828, -0.13108129799365997, 0.5164425373077393, 0.07168242335319519, -0.9485538005828857, 0.026505954563617706, -0.5677967071533203, -0.20364613831043243, -1.4904333353042603, 0.38538292050361633, -0.16708847880363464, 1.0684200525283813, -0.14657965302467346, -0.02606515772640705, -0.04885844513773918, -0.8668705821037292, -0.1400153636932373, -0.723880410194397, -0.08836748450994492, 0.8773218393325806, -0.41930854320526123, 0.625442385673523, -0.19465403258800507, -0.14833346009254456, 0.978725016117096, -0.0511876717209816, -0.46167632937431335, -0.7783581018447876, -1.2822084426879883, -0.15098068118095398, -0.9140849709510803, -0.20525486767292023, 0.3138393461704254, 0.005509331822395325, -0.6617336869239807, -0.8762401342391968, -0.39610403776168823, 0.7627398371696472, 1.3064122200012207, 0.4884185492992401, -1.076959490776062, -0.028237272053956985, 0.28772056102752686, -0.41366657614707947, 0.5364159941673279, 0.6941113471984863, -0.0632195994257927, -0.6845933198928833, -0.20289407670497894, 0.24877403676509857, 0.07172323018312454, 0.05758553370833397, -0.37024566531181335, -0.8806833028793335, 1.401145339012146, 0.45536449551582336, 0.9982652068138123, -1.148735761642456, 0.9245589375495911, -0.33115312457084656, 1.1517338752746582, 1.3745471239089966, -0.19576160609722137, 1.0852975845336914, 0.5558305382728577, 0.06564982980489731, -0.18298308551311493, -0.8943230509757996, 0.3092361092567444, -0.6383557915687561, -0.015750141814351082, -1.2471988201141357, 0.7112630009651184, -0.09822088479995728, -0.5658050179481506, 0.22658729553222656, 0.15802857279777527, 0.5523104071617126, 0.8023208379745483, 1.230026364326477, 0.11819078773260117, -0.2024773508310318, 0.7257334589958191, 1.6317851543426514, 0.6879633665084839, 0.3712606728076935, -0.12512251734733582, 0.19636981189250946, -0.6208357810974121]"
of,"[-0.25320327281951904, 0.8077563047409058, 0.6474425196647644, 0.5066081285476685, 0.21685415506362915, -1.3092646598815918, 0.8758482336997986, 2.2192885875701904, -1.116845965385437, -1.0751913785934448, -0.3368789255619049, -1.8599058389663696, -0.17510651051998138, 0.5930091142654419, 0.07219809293746948, -1.0523598194122314, 0.038637250661849976, -0.6458617448806763, -0.20026588439941406, -1.6630955934524536, 0.42323076725006104, -0.2080923467874527, 1.169600486755371, -0.14754439890384674, -0.017198001965880394, -0.07110341638326645, -0.9767668843269348, -0.13476376235485077, -0.8117530941963196, -0.11005625128746033, 0.9875286817550659, -0.4670790135860443, 0.688578724861145, -0.2055637240409851, -0.16507194936275482, 1.0964032411575317, -0.03993973135948181, -0.5373506546020508, -0.8730640411376953, -1.4313461780548096, -0.15918412804603577, -1.028235912322998, -0.23279622197151184, 0.35788118839263916, 0.0038717901334166527, -0.7404320240020752, -1.0110169649124146, -0.4298064410686493, 0.8737466335296631, 1.4931647777557373, 0.552500307559967, -1.2144503593444824, -0.02255435287952423, 0.3362809419631958, -0.462729811668396, 0.6075341701507568, 0.7726007103919983, -0.07869186252355576, -0.7795165181159973, -0.2313269078731537, 0.2775849997997284, 0.0941956490278244, 0.04631830379366875, -0.42402592301368713, -0.987613320350647, 1.571988582611084, 0.5167925953865051, 1.105623722076416, -1.2707581520080566, 1.0262315273284912, -0.36808323860168457, 1.3169270753860474, 1.5448830127716064, -0.26477763056755066, 1.2462440729141235, 0.6347107887268066, 0.09956277161836624, -0.20795883238315582, -0.9894448518753052, 0.3666526973247528, -0.7029610872268677, -0.020692022517323494, -1.421181559562683, 0.818915843963623, -0.11315922439098358, -0.6448338031768799, 0.22776879370212555, 0.1866869330406189, 0.6264293789863586, 0.9089308977127075, 1.3805207014083862, 0.14391309022903442, -0.24160632491111755, 0.8258057236671448, 1.8445780277252197, 0.7637472152709961, 0.4061301648616791, -0.1520838439464569, 0.23518972098827362, -0.6875730752944946]"
in,"[-0.21635904908180237, 0.7049878239631653, 0.5828066468238831, 0.4368024170398712, 0.2013498842716217, -1.143379807472229, 0.7680460214614868, 1.9481841325759888, -0.9768204092979431, -0.9415569305419922, -0.2999650835990906, -1.6452367305755615, -0.16295020282268524, 0.5302892923355103, 0.05332103371620178, -0.9228813648223877, 0.020937789231538773, -0.557405948638916, -0.18477708101272583, -1.4609659910202026, 0.380500465631485, -0.18298646807670593, 1.039565920829773, -0.12237129360437393, -0.024083124473690987, -0.051284004002809525, -0.8422040939331055, -0.13395418226718903, -0.7118083238601685, -0.09712089598178864, 0.8611077070236206, -0.41702741384506226, 0.5983609557151794, -0.19887107610702515, -0.13168194890022278, 0.9612559080123901, -0.031952615827322006, -0.4778367578983307, -0.7761461138725281, -1.2730247974395752, -0.14334841072559357, -0.9204127192497253, -0.20716741681098938, 0.33147215843200684, 0.011960145086050034, -0.6510151624679565, -0.8952592611312866, -0.39197829365730286, 0.7713398933410645, 1.3125554323196411, 0.47535258531570435, -1.0808850526809692, -0.015811393037438393, 0.28994569182395935, -0.40481799840927124, 0.5438596606254578, 0.6776061058044434, -0.0768190547823906, -0.6966092586517334, -0.20354393124580383, 0.25045812129974365, 0.07948111742734909, 0.03633451834321022, -0.3637404143810272, -0.8612605333328247, 1.3895467519760132, 0.4447299838066101, 0.9907212853431702, -1.1073312759399414, 0.9081069231033325, -0.31819966435432434, 1.1626290082931519, 1.3602441549301147, -0.22434832155704498, 1.094059705734253, 0.5521243810653687, 0.09588608890771866, -0.18681511282920837, -0.8649986386299133, 0.31148427724838257, -0.6207199096679688, -0.02624524012207985, -1.2576524019241333, 0.6995601058006287, -0.10622476041316986, -0.5597265362739563, 0.20036004483699799, 0.15524236857891083, 0.5354381203651428, 0.7900238037109375, 1.2308921813964844, 0.11947625130414963, -0.20801061391830444, 0.7258748412132263, 1.6042729616165161, 0.6864826083183289, 0.35537558794021606, -0.14223594963550568, 0.19109059870243073, -0.6025645732879639]"
was,"[-0.1296272575855255, 0.5202780365943909, 0.4212529957294464, 0.35325220227241516, 0.15854986011981964, -0.8789892792701721, 0.587730348110199, 1.4975305795669556, -0.7492910623550415, -0.7098922729492188, -0.23760239779949188, -1.2334648370742798, -0.09423373639583588, 0.41214919090270996, 0.051112934947013855, -0.7171503901481628, 0.022208426147699356, -0.42160627245903015, -0.13449011743068695, -1.123538851737976, 0.2980101704597473, -0.13735805451869965, 0.8063138127326965, -0.12049505114555359, -0.011891568079590797, -0.041134268045425415, -0.6766778826713562, -0.10775687545537949, -0.5440547466278076, -0.062916599214077, 0.676483690738678, -0.30750417709350586, 0.4694569706916809, -0.1572410613298416, -0.11825263500213623, 0.7435691952705383, -0.046566396951675415, -0.34540751576423645, -0.5919637084007263, -0.9718114137649536, -0.11934057623147964, -0.6959205269813538, -0.14668001234531403, 0.24493223428726196, 0.002897729864344001, -0.4812149703502655, -0.6636022925376892, -0.3033161759376526, 0.5863475799560547, 0.9831498265266418, 0.37696507573127747, -0.8071412444114685, -0.03511472046375275, 0.23090846836566925, -0.32694289088249207, 0.4019055962562561, 0.5334662199020386, -0.05142996087670326, -0.5109918713569641, -0.14288215339183807, 0.20181690156459808, 0.07264683395624161, 0.05484045669436455, -0.26881563663482666, -0.6632135510444641, 1.061238408088684, 0.34895867109298706, 0.7518916726112366, -0.8667263388633728, 0.7042760252952576, -0.22945943474769592, 0.8560245633125305, 1.0338003635406494, -0.14312344789505005, 0.8348928093910217, 0.4133718013763428, 0.0399007685482502, -0.11848771572113037, -0.6784394383430481, 0.23040002584457397, -0.4912864565849304, -0.011752023361623287, -0.9471769332885742, 0.530366063117981, -0.07618912309408188, -0.4275871515274048, 0.17524540424346924, 0.13133969902992249, 0.425107479095459, 0.5974755883216858, 0.9420843124389648, 0.08620796352624893, -0.1477092206478119, 0.5700106620788574, 1.2264374494552612, 0.5081696510314941, 0.27373233437538147, -0.10590063035488129, 0.13548032939434052, -0.47226810455322266]"
is,"[-0.1625036895275116, 0.5750063061714172, 0.4394375681877136, 0.34145137667655945, 0.16400660574436188, -0.9060032367706299, 0.6065539121627808, 1.5500462055206299, -0.7571666836738586, -0.7307266592979431, -0.2466307282447815, -1.2798702716827393, -0.10105016827583313, 0.4114631116390228, 0.05605712905526161, -0.7462326288223267, 0.03660271316766739, -0.4395383596420288, -0.13870461285114288, -1.155163288116455, 0.30385535955429077, -0.13045883178710938, 0.8323760628700256, -0.09928403049707413, -0.022126199677586555, -0.04514642432332039, -0.6731362342834473, -0.0803716704249382, -0.5796554088592529, -0.05592811480164528, 0.6810770034790039, -0.33366701006889343, 0.4950583577156067, -0.15746356546878815, -0.11872346699237823, 0.7663915157318115, -0.030067171901464462, -0.3674153685569763, -0.6215499043464661, -0.9835778474807739, -0.1222926676273346, -0.7091954350471497, -0.15162818133831024, 0.24042658507823944, -0.0010364290792495012, -0.5147618055343628, -0.6898844242095947, -0.31065571308135986, 0.6047378182411194, 1.0156984329223633, 0.3761739730834961, -0.8527945876121521, -0.029516711831092834, 0.2115757018327713, -0.3211284577846527, 0.4308924376964569, 0.5353609323501587, -0.04828696697950363, -0.546269953250885, -0.16169816255569458, 0.2084381878376007, 0.0531449131667614, 0.03270307928323746, -0.2759098708629608, -0.6824865341186523, 1.107473373413086, 0.36989450454711914, 0.7730661034584045, -0.8936299085617065, 0.731696367263794, -0.24861660599708557, 0.8975830674171448, 1.076735019683838, -0.1690446138381958, 0.8613747954368591, 0.43931862711906433, 0.07312323898077011, -0.14581286907196045, -0.6902186870574951, 0.25004544854164124, -0.5096092820167542, -0.008646088652312756, -0.9914530515670776, 0.5669403672218323, -0.07993563264608383, -0.4472535252571106, 0.18101295828819275, 0.13642483949661255, 0.4384325444698334, 0.6164006590843201, 0.9731161594390869, 0.09427805989980698, -0.16071268916130066, 0.5614917874336243, 1.2525323629379272, 0.5237929224967957, 0.29676517844200134, -0.09682197123765945, 0.1401117891073227, -0.4820081293582916]"
an,"[-0.14240975677967072, 0.47893840074539185, 0.3880886435508728, 0.2987743020057678, 0.12953872978687286, -0.7711813449859619, 0.5080729126930237, 1.2931841611862183, -0.657256543636322, -0.6156691312789917, -0.21173517405986786, -1.1032267808914185, -0.09575887024402618, 0.35283565521240234, 0.04746316373348236, -0.6309300661087036, 0.03213297575712204, -0.37242573499679565, -0.12904711067676544, -0.9846459031105042, 0.2471957504749298, -0.13089756667613983, 0.6946370005607605, -0.07875655591487885, -0.01928836666047573, -0.031831759959459305, -0.5628343224525452, -0.07056395709514618, -0.48506471514701843, -0.0515483021736145, 0.5690926313400269, -0.26899832487106323, 0.40294742584228516, -0.13883212208747864, -0.09619711339473724, 0.6279720067977905, -0.016639916226267815, -0.32537731528282166, -0.515778660774231, -0.8359501957893372, -0.10215780138969421, -0.6186304688453674, -0.13826291263103485, 0.20072421431541443, 0.009769747033715248, -0.4506397545337677, -0.5921586751937866, -0.2734687924385071, 0.5233590602874756, 0.8655595183372498, 0.3132111728191376, -0.7165759205818176, -0.012692641466856003, 0.1985810399055481, -0.277710884809494, 0.3584372103214264, 0.44708511233329773, -0.054659146815538406, -0.452194482088089, -0.12389297038316727, 0.17323480546474457, 0.04270917549729347, 0.01903582364320755, -0.24107496440410614, -0.5834481716156006, 0.9374364614486694, 0.31542670726776123, 0.6568573117256165, -0.7566433548927307, 0.6174570918083191, -0.21593086421489716, 0.7638435959815979, 0.912540078163147, -0.15185745060443878, 0.7190931439399719, 0.38717618584632874, 0.057293850928545, -0.11622454971075058, -0.5746414661407471, 0.20606128871440887, -0.4250354766845703, -0.01675558090209961, -0.8235610127449036, 0.473480761051178, -0.06128827854990959, -0.3747604191303253, 0.1363629251718521, 0.11245370656251907, 0.37395280599594116, 0.5223084092140198, 0.8194339871406555, 0.07694850862026215, -0.13427068293094635, 0.47599199414253235, 1.0690598487854004, 0.445002943277359, 0.24344120919704437, -0.08513611555099487, 0.12872806191444397, -0.4008890390396118]"
from,"[-0.14097125828266144, 0.4798978269100189, 0.3800742030143738, 0.2821935713291168, 0.1306338906288147, -0.7596099972724915, 0.5042756795883179, 1.284314751625061, -0.6358591914176941, -0.6203511953353882, -0.19762009382247925, -1.0751656293869019, -0.09364183247089386, 0.3444603979587555, 0.041282959282398224, -0.610221266746521, 0.018950646743178368, -0.35737237334251404, -0.11549262702465057, -0.9563328623771667, 0.24646501243114471, -0.12533816695213318, 0.6857089996337891, -0.0880645215511322, -0.006560574285686016, -0.04513062536716461, -0.5577834844589233, -0.07565652579069138, -0.4770686626434326, -0.06367352604866028, 0.5553611516952515, -0.27476966381073, 0.40605685114860535, -0.12583526968955994, -0.09037362784147263, 0.6297162175178528, -0.016715362668037415, -0.316406786441803, -0.5007297992706299, -0.8238540887832642, -0.08521858602762222, -0.6039543151855469, -0.13505011796951294, 0.21133004128932953, -0.005963299889117479, -0.4446828067302704, -0.5851484537124634, -0.26571640372276306, 0.5091040730476379, 0.8517169952392578, 0.3181723654270172, -0.713429868221283, -0.003926794044673443, 0.18767541646957397, -0.2721302807331085, 0.3621579706668854, 0.443536639213562, -0.05110964924097061, -0.45209938287734985, -0.13473306596279144, 0.1632337123155594, 0.04346198961138725, 0.013046463020145893, -0.24632200598716736, -0.5595105886459351, 0.9203173518180847, 0.31317800283432007, 0.6463178992271423, -0.7460669279098511, 0.5998570919036865, -0.21961680054664612, 0.7539775371551514, 0.8977680802345276, -0.14410781860351562, 0.7122702598571777, 0.3856564462184906, 0.06371989101171494, -0.11766649037599564, -0.5868764519691467, 0.22024813294410706, -0.413613498210907, -0.002605702495202422, -0.8215001225471497, 0.4773854613304138, -0.0744134783744812, -0.37123027443885803, 0.1347825825214386, 0.10975728929042816, 0.35299253463745117, 0.515110194683075, 0.8097991943359375, 0.08449491858482361, -0.14576441049575806, 0.46300822496414185, 1.0696688890457153, 0.4537329375743866, 0.24177613854408264, -0.0791764035820961, 0.1327650398015976, -0.39951762557029724]"
