word,embeddings
the,"[-0.0005340607604011893, 0.00023906257410999388, 0.005129920784384012, 0.009034313261508942, -0.009304248727858067, -0.007117223925888538, 0.006462830118834972, 0.008967582136392593, -0.005018439143896103, -0.0037787428591400385, 0.007378277834504843, -0.0015455343527719378, -0.0045073190703988075, 0.006555090192705393, -0.00483365636318922, -0.0018184696091338992, 0.0028822708409279585, 0.000984931830316782, -0.008291643112897873, -0.009469296783208847, 0.0073241121135652065, 0.005091313738375902, 0.0067580873146653175, 0.0007468315307050943, 0.006334958132356405, -0.0033894763328135014, -0.0009603325161151588, 0.005776606034487486, -0.0075323148630559444, -0.0039311666041612625, -0.007508513517677784, -0.0009395783417858183, 0.00952744111418724, -0.007336286827921867, -0.002337505342438817, -0.0019344794563949108, 0.008079495280981064, -0.005910126026719809, 3.090654354309663e-05, -0.004744824953377247, -0.009578325785696507, 0.0050023323856294155, -0.008766373619437218, -0.004383749794214964, -2.6086003344971687e-05, -0.0003337818488944322, -0.007680952548980713, 0.009610799141228199, 0.004994620569050312, 0.009235945530235767, -0.008146421052515507, 0.004494821187108755, -0.0041140541434288025, 0.0008106211898848414, 0.00848482921719551, -0.004431875888258219, 0.004514374304562807, -0.006772567518055439, -0.0035481636878103018, 0.009396650828421116, -0.00158111029304564, 0.000320285587804392, -0.00413517327979207, -0.007668111938983202, -0.0015158334281295538, 0.0024910098873078823, -0.0008991798385977745, 0.005542832892388105, -0.002737530739977956, 0.0022579627111554146, 0.005456127226352692, 0.008349667303264141, -0.0014571569627150893, -0.009208189323544502, 0.004376681987196207, 0.0005862974212504923, 0.007453993894159794, -0.0008148630731739104, -0.0026419737841933966, -0.008756430819630623, -0.0008853909093886614, 0.0028259267564862967, 0.005403487011790276, 0.007052334025502205, -0.005706497002393007, 0.001872688764706254, 0.006098555866628885, -0.004783875308930874, -0.003100587986409664, 0.0068177590146660805, 0.0016371285310015082, 0.00018130644457414746, 0.003460245905444026, 0.0002223515184596181, 0.009635096415877342, 0.005063928663730621, -0.00890957098454237, -0.007041148841381073, 0.000899026170372963, 0.006384705659002066]"
world,"[-0.008625287562608719, 0.0036713352892547846, 0.005213378928601742, 0.005751271266490221, 0.007460785564035177, -0.006181351840496063, 0.0010984578402712941, 0.006062980741262436, -0.00284467451274395, -0.006192793603986502, -0.00042336026672273874, -0.00838512647897005, -0.005591386929154396, 0.0071115861646831036, 0.003371534636244178, 0.007212975062429905, 0.006807318422943354, 0.0075363642536103725, -0.003775242017582059, -0.0005885352147743106, 0.0023641781881451607, -0.004512167070060968, 0.008386550471186638, -0.009860279969871044, 0.006741087883710861, 0.0029313398990780115, -0.004949847236275673, 0.004422483034431934, -0.0017493441700935364, 0.006718637887388468, 0.009956990368664265, -0.004365911241620779, -0.0006107956869527698, -0.005715766455978155, 0.0038531695026904345, 0.0027971903327852488, 0.006898798979818821, 0.006106337998062372, 0.009511670097708702, 0.00929977186024189, 0.007934650406241417, -0.00700494134798646, -0.009168402291834354, -0.0003348042373545468, -0.0030882135033607483, 0.007859541103243828, 0.005919510964304209, -0.00156402459833771, 0.001524218707345426, 0.0017861240776255727, 0.007834842428565025, -0.00951039046049118, -0.00017744234355632216, 0.003465911839157343, -0.0009524159831926227, 0.008409319445490837, 0.009012502618134022, 0.0065441313199698925, -0.000701958080753684, 0.007722429931163788, -0.00853881798684597, 0.0032015452161431313, -0.004639854189008474, -0.0050760358572006226, 0.003598688170313835, 0.005385349038988352, 0.007773749530315399, -0.005750393029302359, 0.007447498384863138, 0.0066284495405852795, -0.0037087728269398212, -0.008740917779505253, 0.005430946126580238, 0.006511280313134193, -0.0007594326743856072, -0.0066729034297168255, -0.007066137157380581, -0.0024858552496880293, 0.005148072727024555, -0.0036686190869659185, -0.009410463273525238, 0.0038395209703594446, 0.004889225121587515, -0.006421206519007683, 0.0011897599324584007, -0.002057325793430209, 4.36682348663453e-05, -0.009871797636151314, 0.002703107427805662, -0.004731247667223215, 0.0011020302772521973, -0.0015811132034286857, 0.002185039920732379, -0.007890729233622551, -0.0027063796296715736, 0.00266390317119658, 0.005368560552597046, -0.0023929686285555363, -0.009506523609161377, 0.004515503533184528]"
.,"[9.77116433205083e-05, 0.003103140741586685, -0.0067607383243739605, -0.0013459590263664722, 0.007685314863920212, 0.00731077091768384, -0.003654395928606391, 0.0026602225843816996, -0.008327413350343704, 0.00614571338519454, -0.004627431742846966, -0.0031979780178517103, 0.00938284583389759, 0.0008784348610788584, 0.007555189076811075, -0.006106817163527012, 0.005198492202907801, 0.009918767027556896, -0.008451825007796288, -0.005189011804759502, -0.007032367400825024, -0.00485102878883481, -0.003761965548619628, -0.008546658791601658, 0.007934476248919964, -0.004815072286874056, 0.008386618457734585, 0.005298811011016369, -0.006565027870237827, 0.00398290203884244, 0.005460925400257111, -0.007417293265461922, -0.007443707436323166, -0.002531315665692091, -0.008620667271316051, -0.0015342816477641463, -0.00039883688441477716, 0.003302233759313822, 0.0013967780396342278, -0.0008625629125162959, -0.005539003759622574, 0.0016936255851760507, -0.0008935686200857162, 0.006813463754951954, 0.004007238894701004, 0.004482108633965254, 0.001397042185999453, -0.002719684038311243, -0.00435921736061573, -0.0010414518183097243, 0.0014878367073833942, -0.0026345346122980118, -0.007050721440464258, -0.007845685817301273, -0.009147824719548225, -0.005900432355701923, -0.0018629018450155854, -0.004301785957068205, -0.006458516698330641, -0.003707515774294734, 0.004273568280041218, -0.0037565806414932013, 0.00839278381317854, 0.0015640323981642723, -0.007223381195217371, 0.009465639479458332, 0.007617960684001446, 0.005532376002520323, -0.006847165524959564, 0.0058072111569345, 0.004019258543848991, 0.005203075706958771, 0.004250633995980024, 0.0019728289917111397, -0.003140681888908148, 0.008400417864322662, 0.009635023772716522, 0.0038203583098948, -0.00282500684261322, 3.374728112248704e-05, 0.0011598365381360054, -0.008432249538600445, -0.008202716708183289, -0.00023456230701413006, 0.0012273808242753148, -0.005725222639739513, -0.004665875341743231, -0.007330439519137144, 0.008377522230148315, 0.00014534383080899715, -0.0044757951982319355, 0.005696765147149563, 0.009157405234873295, -0.004113874863833189, 0.008026456460356712, 0.00536759989336133, 0.0058961655013263226, 0.0004857743624597788, 0.008212635293602943, -0.007044574711471796]"
cup,"[-0.008236980997025967, 0.009312833659350872, -0.00010451625712448731, -0.001924377866089344, 0.004606908652931452, -0.004140782635658979, 0.002764696953818202, 0.006969440262764692, 0.006037987768650055, -0.007595607079565525, 0.00938018225133419, 0.004611380863934755, 0.004044326487928629, -0.006232841871678829, 0.008525294251739979, -0.0021889673080295324, 0.008878584951162338, -0.005349500570446253, -0.0081244595348835, 0.00672462722286582, 0.0017151033971458673, -0.002168617444112897, 0.009540870785713196, 0.00945463590323925, -0.009813058190047741, 0.0025591214653104544, 0.006103547755628824, 0.0039348304271698, 0.001981821609660983, 0.0004816146392840892, 0.0006483311881311238, -0.003809648333117366, -0.00717535987496376, -0.0021704547107219696, 0.00391835393384099, 0.00887354463338852, 0.009261174127459526, -0.005972564220428467, -0.009465912356972694, 0.009801640175282955, 0.0035308103542774916, 0.005108464974910021, 0.0062673636712133884, -0.0027575253043323755, 0.0073801870457828045, 0.0027561376336961985, 0.0028021777980029583, -0.002418297342956066, -0.0030955334659665823, -0.0023819156922399998, 0.004321413580328226, 8.551321661798283e-05, -0.009520473890006542, -0.009721430018544197, -0.006191246211528778, -6.492393731605262e-05, 0.0019723756704479456, 0.00945892371237278, 0.005594724789261818, -0.004248658195137978, 0.00027186088846065104, 0.004932217765599489, 0.007703494280576706, -0.0010967506095767021, 0.0043519604951143265, -0.005757385864853859, -0.000826530740596354, 0.008162396028637886, -0.0023474101908504963, -0.009681000374257565, 0.005796082317829132, -0.003907271660864353, -0.001217440702021122, 0.01001336332410574, -0.0022065688390284777, -0.004678955301642418, -0.005265118088573217, 0.006995843723416328, -0.005685931537300348, 0.002123782178387046, -0.005350757390260696, 0.006147829350084066, 0.004366239998489618, 0.0026142604183405638, -0.0015211813151836395, -0.0027200132608413696, 0.009071707725524902, 0.005243044812232256, -0.002093491842970252, -0.00943012349307537, -0.0073717799969017506, -0.0010700487764552236, -0.000827398500405252, -0.002581524895504117, 0.00974801741540432, -0.00045616523129865527, 0.0059063248336315155, -0.007479906547814608, -0.0024893663357943296, -0.005574438255280256]"
in,"[-0.007148141041398048, 0.0012355938088148832, -0.007161041256040335, -0.002219398505985737, 0.0037106629461050034, 0.005817615892738104, 0.0011698150774464011, 0.0021052961237728596, -0.004105401691049337, 0.007217287085950375, -0.006320968270301819, 0.0046252040192484856, -0.008207865059375763, 0.002064105588942766, -0.0049666170962154865, -0.004250135738402605, -0.0031181983649730682, 0.005671518389135599, 0.0058289277367293835, -0.004970696289092302, 0.0007806994835846126, -0.008482863195240498, 0.007790252100676298, 0.009263405576348305, -0.0027464490849524736, 0.0008180586737580597, 0.0007314124959520996, 0.0055098943412303925, -0.008601896464824677, 0.0005813049501739442, 0.00686280895024538, 0.0022337648551911116, 0.0011097299866378307, -0.009326199069619179, 0.008474857546389103, -0.006232154555618763, -0.0029633736703544855, 0.0034798316191881895, -0.0008089795592240989, 0.0014518472598865628, 0.001830039662308991, -0.006856339517980814, -0.009736897423863411, 0.009052294306457043, 0.006211915519088507, -0.0069146351888775826, 0.0033822525292634964, 0.00017922800907399505, 0.004755616653710604, -0.007151797879487276, 0.00405599782243371, 0.004335751291364431, 0.009975595399737358, -0.004451407119631767, -0.0014201783342286944, -0.007279600948095322, -0.009697863832116127, -0.009080929681658745, -0.001013567321933806, -0.006502459291368723, 0.004848054144531488, -0.006162312813103199, 0.0025182319805026054, 0.0007477463805116713, -0.003365748096257448, -0.0009762125555425882, 0.00997268594801426, 0.009142054244875908, -0.004443506710231304, 0.009102972224354744, -0.005662641022354364, 0.005933060776442289, -0.003110608085989952, 0.003426073584705591, 0.003045448334887624, 0.006934598088264465, -0.0023795769084244967, 0.008784753270447254, 0.007600586861371994, -0.009529614821076393, -0.008035716600716114, -0.007638655137270689, 0.002921878593042493, -0.0028083198703825474, -0.006961125880479813, -0.00810426939278841, 0.008306640200316906, 0.0019824509508907795, -0.009311486035585403, -0.004765274003148079, 0.003138540778309107, -0.004713539034128189, 0.005246007349342108, -0.004245821852236986, 0.002634634729474783, -0.008062221109867096, 0.00622935825958848, 0.004828707315027714, 0.0007819411694072187, 0.0030332317110151052]"
cricket,"[-0.008728780783712864, 0.002138764364644885, -0.000855704362038523, -0.0093013234436512, -0.009425007738173008, -0.0014194075483828783, 0.004423974547535181, 0.0037117477040737867, -0.006499399431049824, -0.006892506033182144, -0.005001107696443796, -0.0023000200744718313, -0.00722819659858942, -0.00960071012377739, -0.002724258229136467, -0.00837328564375639, -0.006027849856764078, -0.005666113458573818, -0.002345021814107895, -0.0017185030737891793, -0.008954600431025028, -0.0007313000969588757, 0.00815016869455576, 0.007692399900406599, -0.007208321243524551, -0.0036533300299197435, 0.0031046862713992596, -0.009540596976876259, 0.0014678500592708588, 0.006542600691318512, 0.005739364307373762, -0.008766952902078629, -0.004529435653239489, -0.008168434724211693, 4.538242137641646e-05, 0.009274854324758053, 0.005984300281852484, 0.005065122153609991, 0.005041867960244417, -0.003223512088879943, 0.009568357840180397, -0.007369375787675381, -0.00728332856670022, -0.0022504685912281275, -0.000768992758821696, -0.003235459327697754, -0.0006000894354656339, 0.007480633910745382, -0.0006944279302842915, -0.001630954211577773, 0.0027664632070809603, -0.008361619897186756, 0.007862069644033909, 0.00852290354669094, -0.009604413993656635, 0.002465431345626712, 0.009894821792840958, -0.007659606169909239, -0.0069683389738202095, -0.0077284867875278, 0.008395225740969181, -0.0006816340028308332, 0.009150965139269829, -0.00814550369977951, 0.003751591080799699, 0.0026494190096855164, 0.0007467995746992528, 0.0023447112180292606, -0.007469996809959412, -0.00935377087444067, 0.002359653590247035, 0.0061588590033352375, 0.007983822375535965, 0.005737603642046452, -0.0007716892287135124, 0.008333193138241768, -0.009332188405096531, 0.0034145310055464506, 0.0002750968560576439, 0.003861543722450733, 0.007356689311563969, -0.006719198077917099, 0.005589873064309359, -0.009527802467346191, -0.0008184204343706369, -0.008682211861014366, -0.005084456875920296, 0.009292653761804104, -0.0018354856874793768, 0.0029230210930109024, 0.009084362536668777, 0.008935203775763512, -0.008219937793910503, -0.0030169866513460875, 0.009903754107654095, 0.005090147256851196, -0.0015817047096788883, -0.008696634322404861, 0.0029576194938272238, -0.00668029859662056]"
is,"[0.008126502856612206, -0.004446718376129866, -0.0010500646894797683, 0.0010315728140994906, -0.00019480186165310442, 0.0011371279833838344, 0.006122921127825975, -9.854827112576459e-06, -0.003256839234381914, -0.00152494921348989, 0.005901295226067305, 0.0014980220003053546, -0.0007063377415761352, 0.009344043210148811, -0.004903601948171854, -0.0008474751957692206, 0.009181496687233448, 0.006754877045750618, 0.0014962684363126755, -0.008905126713216305, 0.0011633543763309717, -0.002272323239594698, 0.009372767060995102, 0.0012081770692020655, 0.0014895679196342826, 0.002414569491520524, -0.0018469521310180426, -0.004990092013031244, 0.000221902912016958, -0.0020193117670714855, 0.00659742159768939, 0.008933966048061848, -0.0006768084713257849, 0.0029647802002727985, -0.0061120702885091305, 0.0017124500591307878, -0.006916041485965252, -0.008690324611961842, -0.005913134198635817, -0.008951005525887012, 0.007294065784662962, -0.005778723396360874, 0.008263494819402695, -0.007239541504532099, 0.0034272968769073486, 0.009657634422183037, -0.007807978894561529, -0.009948604740202427, -0.004322780761867762, -0.002681697951629758, -0.00026224652538076043, -0.008833220228552818, -0.00861438363790512, 0.0027961551677435637, -0.00820991676300764, -0.009056209586560726, -0.002332742093130946, -0.008636055514216423, -0.007058737333863974, -0.008396637625992298, -0.00031122591462917626, -0.004566885065287352, 0.006633010692894459, 0.0015277371276170015, -0.003343010786920786, 0.0061243860982358456, -0.006020721048116684, -0.004643022548407316, -0.007207562681287527, -0.0043371906504035, -0.0018074577674269676, 0.0064991917461156845, -0.0027730711735785007, 0.0049179112538695335, 0.00691795302554965, -0.00744668859988451, 0.004577544517815113, 0.006131852976977825, -0.002959656761959195, 0.006623866036534309, 0.006102869287133217, -0.006441093515604734, -0.006753104738891125, 0.0025440887548029423, -0.0016345067415386438, -0.006051511969417334, 0.009518707171082497, -0.0051330518908798695, -0.006547253113240004, -0.00010031671990873292, -0.0026982093695551157, 0.0004459198971744627, -0.003541807644069195, -0.00042181127355434, -0.0006850760546512902, 0.0008319464977830648, 0.008202503435313702, -0.005742961540818214, -0.0016580355586484075, 0.0055756960064172745]"
of,"[0.00818030908703804, -0.00443938048556447, 0.00901434663683176, 0.008259194903075695, -0.004430095665156841, 0.00028671216568909585, 0.004281914792954922, -0.0039217001758515835, -0.005572361871600151, -0.006538852117955685, -0.0006866127951070666, -0.00032059592194855213, 0.004502924624830484, -0.0024670101702213287, -0.00013798137661069632, 0.002443047007545829, 0.004885868635028601, -3.2164909498533234e-05, -0.0063216788694262505, -0.00930037908256054, 5.066122685093433e-05, 0.006666317116469145, 0.0014534232905134559, -0.008993527851998806, -0.007959515787661076, 0.006562996655702591, -0.0038042364176362753, 0.00626746192574501, -0.006693280767649412, 0.008492478169500828, -0.006518577225506306, 0.0032929270528256893, -0.001089152880012989, -0.006822547409683466, -0.003286538412794471, -0.0011444675037637353, -0.005478668492287397, -0.0011890617897734046, -0.007579540368169546, 0.0026606027968227863, 0.009115948341786861, -0.0024058972485363483, -0.0009746354189701378, 0.0035328506492078304, 0.008684001863002777, -0.005960317328572273, -0.006919341627508402, -0.002947658533230424, 0.00916504580527544, 0.0008670875686220825, -0.008654292672872543, -0.0014327128883451223, 0.009519264101982117, -0.00756421172991395, -0.005365290679037571, 0.009348009712994099, -0.008975072763860226, 0.0038393887225538492, 0.0006618524203076959, 0.006672269199043512, 0.00830680038779974, -0.0028668527957051992, -0.004004945047199726, 0.008921300992369652, 0.0021023000590503216, 0.006275850348174572, -0.009452545084059238, 0.00960153341293335, -0.0013240063562989235, -0.006058683153241873, 0.0029992174822837114, -0.0004577298532240093, 0.0047050234861671925, -0.002273011952638626, -0.004110120236873627, 0.002315137768164277, 0.00838935561478138, -0.004979729652404785, 0.0026874307077378035, -0.007977163419127464, -0.006809976417571306, -0.0004527959681581706, -0.008764841593801975, 0.0027846486773341894, 0.001600357354618609, -0.002303577959537506, 0.00502494303509593, 0.00976952351629734, 0.008487268351018429, -0.0018581547774374485, 0.002085992367938161, -0.004006197210401297, -0.008249522186815739, 0.006270223762840033, -0.0019289443735033274, -0.0006569401593878865, -0.0017614655662328005, -0.00454481178894639, 0.004067557863891125, -0.004283953923732042]"
winning,"[-0.009570683352649212, 0.008937617763876915, 0.004177134949713945, 0.00923225563019514, 0.00663955369964242, 0.002924417145550251, 0.009811891242861748, -0.004426784813404083, -0.006807031109929085, 0.004218440502882004, 0.0037289331667125225, -0.005663788411766291, 0.009712566621601582, -0.0035599793773144484, 0.009557303041219711, 0.0008341781795024872, -0.006324322894215584, -0.001984233735129237, -0.007379510439932346, -0.0029967513401061296, 0.0010517141781747341, 0.009485427290201187, 0.009363848716020584, -0.0066125220619142056, 0.0034633136820048094, 0.00228130049072206, -0.0024923505261540413, -0.00923238880932331, 0.0010220407275483012, -0.008159562014043331, 0.006324822548776865, -0.005796980578452349, 0.0055290888994932175, 0.009822872467339039, -0.0001618757814867422, 0.004522199742496014, -0.0018186400411650538, 0.007369110826402903, 0.003937194589525461, -0.0090143121778965, -0.0023874591570347548, 0.003629155922681093, -8.945642184698954e-05, -0.0012037712149322033, -0.0010479261400178075, -0.001685533905401826, 0.0005945069715380669, 0.004164612386375666, -0.004244884476065636, -0.0038252207450568676, -5.590716318693012e-05, 0.000275013386271894, -0.0001572127075633034, -0.0047941324301064014, 0.00431029824540019, -0.00216653966344893, 0.0021027205511927605, 0.0006764492718502879, 0.0059673679061234, -0.006841230671852827, -0.006813254673033953, -0.004479881841689348, 0.009431743063032627, -0.0015820686239749193, -0.009432281367480755, -0.0005343461525626481, -0.004453149624168873, 0.006001601926982403, -0.009579027071595192, 0.002851419150829315, -0.009246128611266613, 0.0012495623668655753, 0.005998453591018915, 0.007399999536573887, -0.007614695932716131, -0.006055666133761406, -0.006820570211857557, -0.007916918024420738, -0.009498934261500835, -0.002127112587913871, -0.000840752269141376, -0.007255521137267351, 0.006781862583011389, 0.001125670736655593, 0.005835024174302816, 0.0014714699937030673, 0.0007962253293953836, -0.007355015724897385, -0.002178771886974573, 0.004324240610003471, -0.005078696645796299, 0.0011253954144194722, 0.002881972584873438, -0.0015354176284745336, 0.00993588287383318, 0.0083590904250741, 0.0024179674219340086, 0.007111129350960255, 0.00589368212968111, -0.00558547955006361]"
a,"[-0.005159247200936079, -0.006662617437541485, -0.007773349527269602, 0.008315455168485641, -0.001979129621759057, -0.006857679225504398, -0.0041537415236234665, 0.005148698575794697, -0.002869701711460948, -0.003754044184461236, 0.0016246300656348467, -0.002779573667794466, -0.0015791573096066713, 0.0010760162258520722, -0.002971672685816884, 0.008513102307915688, 0.003917627036571503, -0.009956611320376396, 0.006253979634493589, -0.00676207197830081, 0.0007721528527326882, 0.004404460545629263, -0.005097468849271536, -0.002111953217536211, 0.00809358712285757, -0.004243565257638693, -0.007637898437678814, 0.0092634791508317, -0.002161726588383317, -0.004716330673545599, 0.008573649451136589, 0.004278166219592094, 0.004323135130107403, 0.009276581928133965, -0.008454813621938229, 0.0052596889436244965, 0.0020429054275155067, 0.004191529005765915, 0.00169455842114985, 0.00446545984596014, 0.004489778075367212, 0.006100747734308243, -0.0032037990167737007, -0.004569550044834614, -0.0004208734608255327, 0.0025293382350355387, -0.003268066793680191, 0.006055034231394529, 0.004156401380896568, 0.007765222806483507, 0.002575124381110072, 0.00811617448925972, -0.0013848516391590238, 0.008070615120232105, 0.003709404729306698, -0.00804553646594286, -0.0039318460039794445, -0.002469405997544527, 0.00489017553627491, -0.0008712094277143478, -0.002829480916261673, 0.00783392321318388, 0.009328112006187439, -0.0016157974023371935, -0.005160314496606588, -0.0046964893117547035, -0.004842665977776051, -0.009595640003681183, 0.0013718510745093226, -0.0042254808358848095, 0.0025289952754974365, 0.0056174565106630325, -0.004066946916282177, -0.009591052308678627, 0.0015535552520304918, -0.006693546194583178, 0.0024982960894703865, -0.0037742748390883207, 0.007077760063111782, 0.0006386080058291554, 0.0035532459150999784, -0.0027390599716454744, -0.0017099963733926415, 0.0076528931967914104, 0.0014040597015991807, -0.005849339067935944, -0.00782809592783451, 0.0012304983101785183, 0.006456981413066387, 0.005559905432164669, -0.008975335396826267, 0.008593897335231304, 0.004047995433211327, 0.007465815637260675, 0.009757178835570812, -0.007289753295481205, -0.009036490693688393, 0.00583296362310648, 0.009388354606926441, 0.0035040779039263725]"
